trial_id,margin,lambda_ctr,lr,batch_size,eps_ate,pehe,co2_kg
trial_0,0.37726026035083554,0.8927180304353626,0.0006496385739540575,32,0.163716,0.860820,
trial_1,0.48258375215733257,0.1432249371823025,0.00025707833957860264,32,0.134202,0.590390,
trial_2,0.2664728302055718,0.7348118405270447,0.0005262490902114901,32,0.144585,0.671331,
trial_3,0.5442224904813915,0.10485387725194621,0.0009527257190058898,32,0.144174,0.645553,
trial_4,0.623901580677722,0.1630568734622147,0.0002679909904436604,32,0.203858,1.235412,
trial_5,0.30580613829002995,0.20148477884158655,0.0004653920936389924,32,0.217621,1.282135,
trial_6,0.4018187126597599,0.1955370866274525,0.0005354227448429182,32,0.186299,1.021558,
trial_7,0.29140399034446846,0.19594972058679164,0.0003606666075446864,32,0.135564,0.539646,gg
trial_8,0.41261089541566454,0.6097839109531512,0.00027580109115345105,32,0.183973,0.907299,
trial_9,0.4398374343076578,0.3912141628549695,0.000215524894334977,32,0.200815,1.251453,
