trial_id,margin,lambda_ctr,lr,batch_size,eps_ate,pehe,co2_kg
trial_0,0.18272261776066237,0.4618710939004909,0.0003321866147099669,32,0.166942,0.896840,
trial_1,0.26208630215377515,0.12854415975274447,0.00022283788377639794,32,0.144094,0.716863,
trial_2,0.1097990803659666,0.4031170288036923,0.00030337769340048766,32,0.148409,0.676142,
trial_3,0.31255143181676115,0.10336843570697404,0.0003917436398866853,32,0.165774,0.825167,
trial_4,0.3818145165896869,0.1407403637384748,0.00022686357143793847,32,0.216604,1.446627,
trial_5,0.134336568680343,0.1631759695642342,0.00028773813343832376,32,0.229576,1.543857,
trial_6,0.2004087187654156,0.15979398717410354,0.00030564413737366056,32,0.245707,1.706126,
trial_7,0.12517051076140215,0.160029609782925,0.0002578195818876751,32,0.272663,1.816879,
trial_8,0.20834315611529478,0.35384612595255155,0.00022968772883218605,32,0.264950,1.889060,
trial_9,0.22878863522445894,0.2594657353877962,0.00020654418060140803,32,0.280054,1.892811,
