replica,PEHE,ATE_error
1,0.43181178,0.06390047
2,0.4321003,0.029836178
3,0.5382883,0.032364845
4,0.5518065,0.09743023
5,0.63243914,0.07607126
6,0.45416176,0.007762432
7,0.46044868,0.18816996
8,0.7177657,0.07947707
9,2.9600878,0.13753796
10,1.2191517,0.2159152
11,0.5605302,0.13957143
12,0.72520334,0.033254623
13,4.5488234,0.07735729
14,0.44333696,0.04813814
15,0.5848528,0.12724233
16,1.3846003,0.3346839
17,0.72344744,0.11159778
18,0.72186273,0.31487322
19,0.59576803,0.102719784
20,0.4987654,0.016590595
21,9.510939,2.4162402
22,0.48364604,0.055006027
23,0.71210957,0.076489925
24,1.0094469,0.032176733
25,0.7821906,0.20370817
26,16.991716,2.962103
27,0.56739396,0.16348958
28,4.5621624,0.67768097
29,0.7131362,0.10106826
30,0.6449653,0.0022206306
31,0.6804194,0.020514488
32,0.44448125,0.057836533
33,0.6691478,0.16306162
34,5.1305194,0.5317087
35,0.8579584,0.1676476
36,0.7905267,0.24982929
37,1.0707414,0.15663934
38,0.6714387,0.0045921803
39,1.1270845,0.13977766
40,0.71282965,0.017653942
41,0.5405933,0.1887312
42,0.5494105,0.034228325
43,0.45249555,0.014989853
44,0.57396907,0.15789104
45,0.8685821,0.015054703
46,0.6067778,0.0743022
47,0.7162285,0.14186049
48,0.49376196,0.08311677
49,0.71018904,0.034983635
50,0.66094106,0.17284322
51,0.5397321,0.16924906
52,0.7029439,0.26410294
53,1.5216731,0.015771866
54,0.8965108,0.021395683
55,0.6517445,0.14884686
56,0.17084976,0.084129095
57,0.48117602,0.18899679
58,0.65106165,0.15778542
59,0.972504,0.13435793
60,1.094067,0.16800547
61,0.4548739,0.052540302
62,0.6256343,0.0432961
63,0.68078303,0.14312696
64,0.55646425,0.13608813
65,0.8170599,0.036710262
66,0.59698206,0.0997076
67,0.7450712,0.09935951
68,4.718472,0.3469906
69,0.4270989,0.026374817
70,0.11634818,0.0067863464
71,1.0751861,0.18916416
72,0.1687918,0.16550255
73,0.45969462,0.08662224
74,0.42410275,0.04616332
75,0.103573784,0.012828112
76,1.2526425,0.08468628
77,0.3635029,0.07293749
78,0.47525227,0.036248684
79,0.8266988,0.1379385
80,0.40894058,0.1392219
81,2.2504349,0.11016369
82,0.976029,0.22997308
83,0.6965684,0.1709714
84,6.7017074,0.91376996
85,23.008263,0.6201919
86,1.474801,0.14695024
87,0.54150933,0.024190903
88,0.16848654,0.15025616
89,0.716082,0.011461496
90,0.56187844,0.029073477
91,0.5266936,0.30545187
92,0.65107244,0.13169599
93,1.5022155,0.18395138
94,0.5157971,0.049577713
95,0.53023237,0.040211678
96,0.49941352,0.08241844
97,0.6536947,0.24512815
98,1.5944422,0.072896
99,0.7553837,0.10534763
100,0.6851785,0.26976442
101,0.7573203,0.053482056
102,0.8528324,0.15956593
103,0.67117363,0.08296394
104,0.8238987,0.1359899
105,0.7165035,0.007297516
106,0.490351,0.059111834
107,0.47040153,0.0017366409
108,31.124891,6.0047755
109,1.0343573,0.117353916
110,1.2009324,0.22090578
111,0.7667521,0.25706887
112,0.77484363,0.08320713
113,6.8616495,0.8561177
114,0.4535946,0.019191742
115,0.75256157,0.045820236
116,0.724083,0.31682062
117,0.5716898,0.095989466
118,0.659245,0.12590384
119,1.4608232,0.21316671
120,1.702453,0.38792324
121,0.6337864,0.21489573
122,0.49795005,0.056141376
123,0.7351142,0.09504366
124,1.0773032,0.011106491
125,0.65666246,0.0781908
126,1.6838967,0.08381319
127,0.73710907,0.14075232
128,0.63203007,0.20597696
129,0.92487663,0.020950317
130,1.872875,0.24750328
131,0.08944338,0.05568266
132,0.8896289,0.00446105
133,2.807898,0.021342278
134,1.0496088,0.024729729
135,0.4456483,0.14377499
136,0.6648431,0.050624847
137,1.1107951,0.016702175
138,0.45104444,0.050536633
139,0.33730248,0.0672245
140,0.52474624,0.039721966
141,0.6618046,0.11706281
142,0.70442384,0.188488
143,2.1473484,0.06575489
144,0.6577215,0.07226801
145,0.5971208,0.07451534
146,0.6908761,0.035547495
147,8.800378,0.48919868
148,0.7618137,0.1516726
149,2.6470509,0.094745636
150,0.4152967,0.09653902
151,0.67242175,0.14153051
152,0.75939775,0.16581535
153,0.84156597,0.33865547
154,0.62554437,0.06013584
155,0.7714337,0.06171608
156,0.55072767,0.12635803
157,11.259203,4.531952
158,0.97703683,0.008145094
159,0.27894706,0.26570582
160,0.7093721,0.1865511
161,0.531126,0.050343513
162,0.35784575,0.18106413
163,0.7354843,0.13637638
164,0.2935819,0.015063286
165,0.7212117,0.04997158
166,0.7218378,0.017058372
167,0.41147688,0.04085207
168,0.77250594,0.1631341
169,1.2538781,0.30621004
170,0.7250614,0.04726696
171,1.3541862,0.020309925
172,0.6025125,0.06544638
173,0.5025831,0.058239937
174,0.6336214,0.045552015
175,0.41303077,5.4597855e-05
176,0.7199149,0.098423004
177,0.7157014,0.12269497
178,0.6168408,0.2412355
179,0.61792743,0.19371128
180,1.8672458,0.056306362
181,1.2924504,0.0725956
182,0.49467975,0.08799791
183,0.5171125,0.11070061
184,0.9918001,0.02847433
185,0.65449494,0.35502028
186,0.34023064,0.26830435
187,1.3150607,0.31377602
188,0.48973805,0.15066147
189,0.86659384,0.004883766
190,0.6705762,0.071762085
191,0.4601156,0.03128004
192,0.7126592,0.22170162
193,0.6145685,0.037826538
194,0.5785428,0.20379877
195,0.6338232,0.047644615
196,0.71945894,0.048586845
197,0.6324381,0.06655979
198,0.734631,0.25773048
199,1.0845249,0.118710995
200,0.6469013,0.18499088
201,0.72662044,0.113488674
202,0.577939,0.035948753
203,0.39817888,0.09250021
204,0.75336075,0.04386115
205,1.1540325,0.021483898
206,1.2101938,0.088201284
207,0.43964064,0.08990812
208,0.60813975,0.2275486
209,1.745939,0.003519535
210,4.681879,0.26994252
211,1.0723289,0.3402319
212,0.6320147,0.21189642
213,0.28240803,0.008292675
214,0.5214771,0.111046314
215,0.5564549,0.0037887096
216,0.6117224,0.09736538
217,0.68788874,0.07701111
218,0.89522105,0.14706492
219,49.388813,8.726472
220,1.98424,0.10003805
221,0.37803927,0.12526703
222,0.5635471,0.12270999
223,0.34322453,0.19630575
224,0.42427155,0.13832426
225,0.8246388,0.09876561
226,1.0047464,0.09423542
227,0.28935674,0.09354591
228,0.69511116,0.037739992
229,0.7647477,0.054754257
230,0.66769475,0.09010267
231,1.2489444,0.2609687
232,5.487184,2.3354602
233,0.82502246,0.00065755844
234,0.26876086,0.0017476082
235,1.1753899,0.0014533997
236,0.526916,0.096208096
237,0.9172465,0.003109932
238,0.6017907,0.12517858
239,0.5864679,0.051475286
240,0.9861791,0.006773472
241,0.55788124,0.090547085
242,0.067442276,1.1444092e-05
243,7.7247615,2.3831153
244,0.85396826,0.009150982
245,2.2401943,0.17413807
246,0.62115765,0.10252309
247,0.81017745,0.05972767
248,0.53965074,0.1096158
249,0.8346434,0.07451534
250,0.6096415,0.10856485
251,0.52184993,0.037143946
252,0.45642945,0.0051267147
253,1.2669363,0.10048795
254,22.05763,2.523487
255,4.15979,0.20604134
256,0.49540278,0.0074870586
257,1.3848634,0.15769434
258,0.5125769,0.18297172
259,0.5246759,0.117583275
260,0.38370582,0.11858225
261,0.6244785,0.013551474
262,8.358018,2.2056818
263,0.4626334,0.019998789
264,0.7807763,0.22567582
265,0.57337284,0.119087696
266,0.60645175,0.08754969
267,0.9546445,0.19723225
268,0.50253737,0.13608694
269,0.6596824,0.12906122
270,0.39994118,0.044137716
271,0.7180929,0.052764177
272,0.86810994,0.03891039
273,1.8197614,0.051487923
274,0.42334288,0.17771435
275,0.6340514,0.07906914
276,1.8962425,0.10158157
277,0.86380893,0.16082239
278,0.0464242,0.034375668
279,0.56801313,0.27687788
280,0.9746338,0.18317223
281,2.5019357,0.17198277
282,4.349623,0.065041065
283,1.3149407,0.07329607
284,0.56369454,0.073168755
285,0.36876622,0.22845411
286,0.9106847,0.17010593
287,0.7450379,0.044209003
288,0.9795668,0.04826927
289,0.54597735,0.09491658
290,0.6895756,0.020152569
291,0.60680413,0.1317854
292,2.322662,0.031323195
293,0.8407104,0.007247925
294,0.30834708,0.055766106
295,0.593128,0.017337322
296,1.1855029,0.15303135
297,0.5158866,0.0077495575
298,0.62716913,0.07562137
299,0.24186829,0.15890813
300,0.5651797,0.23608351
301,0.5429719,0.062067986
302,0.946239,0.0037055016
303,0.9402159,0.022980213
304,0.51195234,0.01904583
305,0.56805795,0.14145684
306,0.59287065,0.10520315
307,0.73724484,0.07907891
308,1.1332731,0.06588602
309,0.6513448,0.069337845
310,13.643781,2.3937535
311,1.2397379,0.111322165
312,1.2666001,0.0038609505
313,0.60520875,0.104878426
314,7.0861964,1.6426682
315,1.4445992,0.22464108
316,0.7030857,0.084733486
317,0.6312998,0.0072307587
318,0.65703756,0.1406498
319,0.7454986,0.035706043
320,28.539948,3.258584
321,1.1851974,0.14967203
322,0.8405495,0.32910872
323,1.5357167,0.0075335503
