replica,epoch,loss,base,ctr
0,1,1017.229828,1015.924742,1.305086
0,2,27.924527,26.942855,0.981672
0,3,7.250157,6.344148,0.906009
0,4,6.429554,5.600896,0.828658
0,5,6.123412,5.367669,0.755743
0,6,5.890496,5.202724,0.687772
0,7,5.680221,5.04817,0.632051
0,8,5.504305,4.92384,0.580465
0,9,5.338907,4.796467,0.54244
0,10,5.198551,4.686916,0.511634
0,11,5.080861,4.597194,0.483668
0,12,4.973349,4.512553,0.460797
0,13,4.869534,4.42829,0.441244
0,14,4.786634,4.362265,0.424369
0,15,4.705075,4.293067,0.412008
0,16,4.619985,4.221816,0.398169
0,17,4.554879,4.168861,0.386018
0,18,4.486116,4.108592,0.377524
0,19,4.425388,4.057244,0.368144
0,20,4.370396,4.009143,0.361253
0,21,4.303408,3.949618,0.35379
0,22,4.245895,3.899765,0.346131
0,23,4.199203,3.860446,0.338757
0,24,4.152192,3.818024,0.334168
0,25,4.103094,3.774309,0.328785
0,26,4.047752,3.722908,0.324845
0,27,4.013963,3.692484,0.321479
0,28,3.968875,3.6538,0.315075
0,29,3.928087,3.615182,0.312905
0,30,3.886929,3.578359,0.30857
0,31,3.848444,3.542276,0.306168
0,32,3.811854,3.509059,0.302795
0,33,3.779075,3.479013,0.300062
0,34,3.738311,3.44225,0.296061
0,35,3.703101,3.408807,0.294294
0,36,3.675947,3.384123,0.291824
0,37,3.638625,3.349961,0.288664
0,38,3.608259,3.321836,0.286423
0,39,3.579129,3.294613,0.284516
0,40,3.550008,3.267252,0.282757
0,41,3.51941,3.2396,0.27981
0,42,3.48892,3.210578,0.278343
0,43,3.463378,3.187936,0.275443
0,44,3.441895,3.167931,0.273964
0,45,3.409105,3.13517,0.273934
0,46,3.382087,3.110941,0.271146
0,47,3.360583,3.091194,0.269389
0,48,3.333045,3.065705,0.26734
0,49,3.310178,3.043619,0.266559
0,50,3.287778,3.02433,0.263448
0,51,3.256783,2.994989,0.261794
0,52,3.235033,2.973222,0.26181
0,53,3.212452,2.952602,0.25985
0,54,3.190227,2.932123,0.258105
0,55,3.165191,2.908176,0.257016
0,56,3.149191,2.894637,0.254554
0,57,3.127261,2.871905,0.255356
0,58,3.106103,2.852525,0.253579
0,59,3.087084,2.834487,0.252597
0,60,3.065181,2.81495,0.250231
0,61,3.05151,2.801836,0.249674
0,62,3.023793,2.775118,0.248674
0,63,3.001792,2.754571,0.247221
0,64,2.985435,2.739713,0.245722
0,65,2.721964,2.477362,0.244602
0,66,2.596476,2.354285,0.24219
0,67,2.569319,2.329958,0.23936
0,68,2.540034,2.303487,0.236547
0,69,2.519139,2.28433,0.234809
0,70,2.492825,2.260396,0.23243
0,71,2.467613,2.238235,0.229378
0,72,2.448077,2.219987,0.228089
0,73,2.428044,2.201782,0.226262
0,74,2.406792,2.182595,0.224197
0,75,2.385636,2.162562,0.223074
0,76,2.381916,2.161695,0.220221
0,77,2.353306,2.133047,0.220259
0,78,2.337901,2.119522,0.218379
0,79,2.315192,2.099153,0.216039
0,80,2.298631,2.083297,0.215335
1,1,1650.413177,1649.311546,1.101629
1,2,34.115248,33.332735,0.782513
1,3,7.396696,6.695284,0.701412
1,4,6.39102,5.73215,0.65887
1,5,6.047998,5.425519,0.622478
1,6,5.85183,5.261317,0.590514
1,7,5.704066,5.140658,0.563407
1,8,5.574214,5.03518,0.539034
1,9,5.454714,4.938986,0.515728
1,10,5.351649,4.855342,0.496307
1,11,5.258406,4.777953,0.480453
1,12,5.178856,4.711405,0.467451
1,13,5.105279,4.652315,0.452964
1,14,5.028921,4.586446,0.442475
1,15,4.96161,4.529098,0.432512
1,16,4.906441,4.485712,0.420729
1,17,4.839938,4.427582,0.412356
1,18,4.784481,4.378481,0.406
1,19,4.725341,4.327857,0.397484
1,20,4.674034,4.283603,0.390431
1,21,4.627666,4.242811,0.384855
1,22,4.579368,4.200466,0.378902
1,23,4.528536,4.156856,0.37168
1,24,4.493928,4.126307,0.36762
1,25,4.444847,4.08215,0.362697
1,26,4.407084,4.048882,0.358201
1,27,4.362453,4.008504,0.353948
1,28,4.320832,3.971948,0.348884
1,29,4.282665,3.937723,0.344942
1,30,4.244011,3.903124,0.340887
1,31,4.211907,3.873487,0.33842
1,32,4.175863,3.841049,0.334814
1,33,4.139185,3.808135,0.33105
1,34,4.10509,3.776967,0.328123
1,35,4.074905,3.748587,0.326318
1,36,4.042134,3.719666,0.322469
1,37,4.011012,3.689997,0.321015
1,38,3.982486,3.664118,0.318369
1,39,3.951667,3.636701,0.314966
1,40,3.922943,3.611039,0.311904
1,41,3.887686,3.576778,0.310907
1,42,3.864217,3.555781,0.308435
1,43,3.840967,3.534216,0.306751
1,44,3.812156,3.50788,0.304277
1,45,3.790517,3.487627,0.302891
1,46,3.759502,3.459313,0.30019
1,47,3.733489,3.435149,0.298339
1,48,3.707192,3.411155,0.296037
1,49,3.681843,3.386896,0.294946
1,50,3.660077,3.364926,0.295152
1,51,3.637827,3.346263,0.291564
1,52,3.614311,3.323461,0.29085
1,53,3.590277,3.300633,0.289644
1,54,3.564649,3.277958,0.286691
1,55,3.543748,3.256574,0.287175
1,56,3.523898,3.238533,0.285365
1,57,3.502958,3.219142,0.283816
1,58,3.487452,3.20473,0.282722
1,59,3.458171,3.176734,0.281436
1,60,3.439173,3.160478,0.278695
1,61,3.419942,3.141068,0.278874
1,62,3.397823,3.12028,0.277544
1,63,3.375716,3.100164,0.275553
1,64,3.363655,3.08851,0.275145
1,65,3.336194,3.062803,0.273392
1,66,3.322689,3.049437,0.273252
1,67,3.305591,3.033725,0.271866
1,68,3.277846,3.006607,0.271238
1,69,3.267364,2.997138,0.270226
1,70,3.247755,2.979196,0.268558
1,71,3.227467,2.960107,0.26736
1,72,3.212896,2.944707,0.268189
1,73,3.194347,2.92808,0.266267
1,74,2.881662,2.615604,0.266058
1,75,2.725188,2.461228,0.26396
1,76,2.702449,2.44107,0.261379
1,77,2.678478,2.418698,0.25978
1,78,2.656787,2.398197,0.258591
1,79,2.638138,2.381803,0.256335
1,80,2.618928,2.363252,0.255676
2,1,1169.135772,1168.093705,1.042069
2,2,31.616207,30.753173,0.863034
2,3,10.671805,9.87113,0.800675
2,4,7.74488,6.994092,0.750789
2,5,6.989179,6.288144,0.701034
2,6,6.630448,5.974174,0.656274
2,7,6.364492,5.752478,0.612015
2,8,6.13268,5.560457,0.572224
2,9,5.935782,5.397896,0.537886
2,10,5.76449,5.256844,0.507646
2,11,5.625891,5.138447,0.487444
2,12,5.489055,5.026393,0.462663
2,13,5.38052,4.934455,0.446065
2,14,5.266016,4.836147,0.429869
2,15,5.167614,4.752177,0.415437
2,16,5.088253,4.684228,0.404026
2,17,4.996299,4.605539,0.390761
2,18,4.917085,4.535581,0.381504
2,19,4.843504,4.473224,0.37028
2,20,4.773915,4.41207,0.361845
2,21,4.704023,4.349314,0.354709
2,22,4.646611,4.298184,0.348427
2,23,4.57712,4.235646,0.341474
2,24,4.523058,4.187787,0.335271
2,25,4.47095,4.141757,0.329193
2,26,4.415613,4.090236,0.325376
2,27,4.37811,4.057301,0.320808
2,28,4.333692,4.016038,0.317654
2,29,4.278702,3.966718,0.311984
2,30,3.923892,3.614944,0.308948
2,31,3.573851,3.27351,0.300341
2,32,3.530558,3.234571,0.295987
2,33,3.484261,3.192295,0.291966
2,34,3.435645,3.149339,0.286306
2,35,3.391025,3.109305,0.281719
2,36,3.362411,3.083922,0.278489
2,37,3.317521,3.044554,0.272967
2,38,3.281003,3.011685,0.269317
2,39,3.24444,2.97879,0.26565
2,40,3.208872,2.944458,0.264414
2,41,3.182036,2.921453,0.260583
2,42,3.144963,2.88675,0.258213
2,43,3.121658,2.865246,0.256412
2,44,3.083679,2.829696,0.253983
2,45,3.066586,2.814536,0.25205
2,46,3.034269,2.785163,0.249106
2,47,3.008744,2.760368,0.248376
2,48,2.981164,2.735275,0.24589
2,49,2.955902,2.711357,0.244545
2,50,2.937193,2.694031,0.243163
2,51,2.933927,2.692777,0.241151
2,52,2.883749,2.643093,0.240656
2,53,2.867544,2.629032,0.238512
2,54,2.842623,2.605374,0.237249
2,55,2.825475,2.589327,0.236148
2,56,2.800864,2.565441,0.235423
2,57,2.784187,2.549425,0.234762
2,58,2.75939,2.527066,0.232325
2,59,2.74204,2.510102,0.231938
2,60,2.726313,2.495485,0.230828
2,61,2.702037,2.47262,0.229417
2,62,2.686438,2.45797,0.228468
2,63,2.671988,2.445453,0.226535
2,64,2.653791,2.426162,0.227628
2,65,2.633769,2.408244,0.225525
2,66,2.616878,2.392752,0.224127
2,67,2.604046,2.380368,0.223679
2,68,2.580916,2.357763,0.223153
2,69,2.56682,2.34547,0.22135
2,70,2.551379,2.330176,0.221204
2,71,2.537474,2.317042,0.220432
2,72,2.524396,2.304531,0.219865
2,73,2.506133,2.287285,0.218848
2,74,2.489724,2.271295,0.218428
2,75,2.476055,2.258795,0.21726
2,76,2.459202,2.243419,0.215784
2,77,2.446909,2.2307,0.216209
2,78,2.437877,2.22284,0.215037
2,79,2.421099,2.207829,0.21327
2,80,2.407775,2.194102,0.213673
3,1,4623.639193,4622.229642,1.40953
3,2,54.755282,53.767041,0.988241
3,3,9.717882,8.832568,0.885314
3,4,7.438714,6.606701,0.832013
3,5,6.929316,6.136125,0.793191
3,6,6.714306,5.957283,0.757023
3,7,6.562958,5.835169,0.727789
3,8,6.426323,5.726744,0.69958
3,9,6.308239,5.637164,0.671076
3,10,6.216815,5.566176,0.650639
3,11,6.126037,5.494511,0.631526
3,12,6.047022,5.432169,0.614853
3,13,5.976189,5.383276,0.592913
3,14,5.903563,5.323651,0.579912
3,15,5.847889,5.278925,0.568963
3,16,5.783481,5.227129,0.556352
3,17,5.72061,5.176469,0.544141
3,18,5.669214,5.137627,0.531587
3,19,5.614992,5.093236,0.521756
3,20,5.566942,5.0529,0.514042
3,21,5.525256,5.018428,0.506828
3,22,5.474722,4.978928,0.495794
3,23,5.426563,4.940411,0.486152
3,24,5.391133,4.911527,0.479606
3,25,5.349505,4.873133,0.476372
3,26,5.304875,4.83713,0.467745
3,27,5.27049,4.809706,0.460784
3,28,5.231658,4.777151,0.454508
3,29,5.197946,4.74815,0.449796
3,30,5.160539,4.717354,0.443184
3,31,5.121496,4.684479,0.437017
3,32,5.089355,4.656942,0.432413
3,33,5.052644,4.62605,0.426594
3,34,5.025675,4.601098,0.424576
3,35,4.991094,4.571607,0.419488
3,36,4.964128,4.550593,0.413535
3,37,4.927944,4.518087,0.409857
3,38,4.900837,4.49468,0.406157
3,39,4.877633,4.47388,0.403753
3,40,4.849305,4.452262,0.397043
3,41,4.820549,4.424885,0.395664
3,42,4.791135,4.399095,0.392039
3,43,4.765919,4.375349,0.390571
3,44,4.731222,4.347113,0.384109
3,45,4.713665,4.331402,0.382263
3,46,4.695467,4.314734,0.380733
3,47,4.660441,4.285434,0.375007
3,48,4.638554,4.2643,0.374254
3,49,4.619697,4.248484,0.371214
3,50,4.588233,4.219335,0.368897
3,51,4.569895,4.204555,0.36534
3,52,4.53708,4.175004,0.362076
3,53,4.514792,4.154927,0.359866
3,54,4.493094,4.135432,0.357662
3,55,4.468027,4.111854,0.356173
3,56,4.448832,4.096662,0.35217
3,57,4.434755,4.085535,0.34922
3,58,4.399883,4.050953,0.34893
3,59,4.382094,4.038043,0.344051
3,60,4.362987,4.02011,0.342877
3,61,4.344389,4.005906,0.338483
3,62,4.325952,3.986487,0.339466
3,63,4.305448,3.969751,0.335697
3,64,4.286078,3.950251,0.335828
3,65,4.263969,3.932196,0.331772
3,66,4.243417,3.914516,0.328901
3,67,4.226102,3.897854,0.328249
3,68,4.204072,3.877175,0.326897
3,69,4.187176,3.862243,0.324933
3,70,4.171594,3.848347,0.323247
3,71,4.151626,3.830906,0.32072
3,72,4.136808,3.818365,0.318443
3,73,4.115076,3.799026,0.31605
3,74,4.089445,3.7746,0.314845
3,75,4.075932,3.763217,0.312715
3,76,4.062357,3.750712,0.311646
3,77,4.047452,3.736417,0.311035
3,78,4.024843,3.716781,0.308062
3,79,4.006709,3.699677,0.307032
3,80,3.989777,3.682969,0.306807
4,1,3706.233076,3705.038495,1.194569
4,2,40.805984,39.878925,0.927059
4,3,9.919939,9.074511,0.845428
4,4,7.307739,6.508954,0.798786
4,5,6.837785,6.084839,0.752945
4,6,6.631749,5.918793,0.712957
4,7,6.474105,5.801241,0.672864
4,8,6.333254,5.692157,0.641097
4,9,6.194706,5.583136,0.61157
4,10,5.745031,5.157408,0.587622
4,11,4.701879,4.143151,0.558728
4,12,4.635685,4.105728,0.529957
4,13,4.554109,4.049866,0.504243
4,14,4.496665,4.014933,0.481732
4,15,4.434447,3.971964,0.462483
4,16,4.368259,3.922568,0.445691
4,17,4.327034,3.895019,0.432015
4,18,4.276064,3.85844,0.417624
4,19,4.225007,3.818471,0.406536
4,20,4.181026,3.78395,0.397076
4,21,4.143101,3.757458,0.385643
4,22,4.093227,3.714745,0.378483
4,23,4.061885,3.692279,0.369606
4,24,4.02567,3.664071,0.361599
4,25,3.989242,3.63285,0.356392
4,26,3.961071,3.613172,0.347899
4,27,3.926236,3.581204,0.345033
4,28,3.890147,3.552601,0.337546
4,29,3.859937,3.527444,0.332492
4,30,3.834388,3.506332,0.328056
4,31,3.80908,3.485405,0.323676
4,32,3.776664,3.459012,0.317652
4,33,3.752208,3.436404,0.315803
4,34,3.754066,3.443572,0.310494
4,35,3.710277,3.402469,0.307808
4,36,3.678983,3.37536,0.303623
4,37,3.656501,3.35529,0.301211
4,38,3.627984,3.330214,0.297769
4,39,3.605396,3.311722,0.293675
4,40,3.592764,3.301049,0.291715
4,41,3.564393,3.275999,0.288393
4,42,3.541327,3.255358,0.285969
4,43,3.518879,3.237418,0.281462
4,44,3.491937,3.210917,0.28102
4,45,4.265745,3.985612,0.280133
4,46,3.675444,3.397845,0.277599
4,47,3.437649,3.161483,0.276166
4,48,3.422472,3.148846,0.273626
4,49,3.424474,3.153063,0.271412
4,50,3.38769,3.118278,0.269412
4,51,3.366801,3.099875,0.266926
4,52,3.359709,3.095098,0.26461
4,53,3.372016,3.107885,0.264131
4,54,3.309914,3.047905,0.262009
4,55,3.307102,3.047044,0.260058
4,56,3.285885,3.028801,0.257084
4,57,3.269651,3.013076,0.256575
4,58,3.251324,2.996424,0.2549
4,59,3.231354,2.978297,0.253057
4,60,3.225983,2.973866,0.252117
4,61,3.199228,2.949351,0.249877
4,62,3.188977,2.940699,0.248278
4,63,3.174474,2.92791,0.246564
4,64,3.155426,2.909615,0.245811
4,65,3.168545,2.924608,0.243937
4,66,3.124789,2.880517,0.244272
4,67,3.109733,2.866851,0.242882
4,68,3.093397,2.851853,0.241544
4,69,3.087934,2.84783,0.240104
4,70,3.06891,2.829559,0.23935
