replica,eps_ate,pehe,co2_kg
0,0.162621,0.790468,
1,0.069148,0.789465,
2,0.083168,0.78474,
3,0.375898,1.398249,
4,0.066586,1.364167,
5,0.168747,0.818274,
6,0.228359,0.748815,
7,0.084973,0.8726,
8,5.022354,9.414395,
9,0.441414,2.642885,
10,0.025851,1.182857,
11,0.517423,1.397391,
12,15.078453,26.206833,
13,0.020893,0.727036,
14,0.046294,1.024922,
15,0.167156,0.999808,
16,0.319025,1.569673,
17,0.504708,1.097826,
18,0.289438,0.918251,
19,0.174875,0.887062,
20,1.569794,3.366335,
21,0.051941,0.774404,
22,0.475245,1.37152,
23,0.498322,1.59653,
