step,eps_ate,pehe,co2_kg
1,0.069631,0.529249,
2,0.103848,0.719914,
3,0.063953,0.548942,
4,0.471328,1.019802,
5,0.140726,1.252110,
6,0.088040,0.475750,
7,0.060286,0.437540,
8,0.010249,0.557369,
9,0.876570,5.241928,
10,0.230963,1.738056,
11,0.067065,0.733933,
12,0.001350,0.864886,
13,0.780935,5.658518,
14,0.063452,1.016871,
15,0.198029,0.940384,
16,0.136232,0.682120,
17,0.068214,1.284624,
18,0.144717,1.034123,
19,0.231504,0.773706,
20,0.059740,0.632641,
21,0.032532,2.156724,
22,0.096578,0.713962,
23,0.127784,0.935456,
24,0.087061,1.055027,
25,0.076491,0.627926,
26,0.078493,2.247905,
27,0.151339,0.906552,
28,1.177261,6.307825,
29,0.099930,0.932165,
30,0.102821,0.813024,
31,0.030716,0.697882,
32,0.176805,0.768435,
33,0.185563,0.998964,
34,0.128189,7.519622,
35,0.014842,1.058058,
36,0.065009,1.179672,
37,0.388687,1.946085,
38,0.076073,0.993115,
39,0.182645,1.503856,
40,0.106492,0.964868,
41,0.051447,0.551323,
42,0.250737,0.729829,
43,0.121623,0.806066,
44,0.154432,1.101770,
45,0.068386,1.211324,
46,0.095996,1.001816,
47,0.009957,1.092190,
48,0.030424,0.844567,
49,0.062452,1.600292,
50,0.370401,0.810428,
51,0.254639,0.714188,
52,0.185686,1.008463,
53,0.036527,1.925226,
54,0.179695,1.511315,
55,0.060982,0.658670,
56,0.211738,0.642493,
57,0.154174,0.633457,
58,0.369675,1.132664,
59,0.060678,0.535721,
60,0.325516,3.012211,
61,0.125395,0.635821,
62,0.114612,0.587555,
63,0.016175,0.693013,
64,0.036025,0.693758,
65,0.293241,1.289451,
66,0.129328,0.607869,
67,0.009629,0.690819,
68,1.297271,4.379427,
69,0.295231,0.952347,
70,0.017353,0.621436,
71,0.022870,1.476111,
72,0.228127,0.826021,
73,0.136807,0.832018,
74,0.020021,0.585719,
75,0.051528,0.519887,
76,0.392524,1.685169,
77,0.321772,0.831869,
78,0.015251,0.847297,
79,0.105426,0.734419,
80,0.081421,0.705985,
81,0.300620,2.904227,
82,0.105416,3.064930,
83,0.632532,1.209833,
84,0.534189,5.511434,
85,0.911939,3.708694,
86,0.094047,2.531915,
87,0.233263,0.804688,
88,0.201530,0.757679,
89,0.065702,0.922955,
90,0.000041,0.886571,
91,0.069250,0.992562,
92,0.164663,1.118917,
93,0.325189,1.760794,
94,0.011101,0.813100,
95,0.006511,0.976486,
96,0.076394,1.114358,
97,0.040951,1.183099,
98,0.121521,1.935007,
99,0.211657,0.776011,
100,0.108176,0.697221,
101,0.209344,1.111609,
102,0.061222,0.910406,
103,0.111393,0.795866,
104,0.271771,0.933625,
105,0.221404,0.968956,
106,0.326641,0.774302,
107,0.053235,0.698522,
108,1.051579,7.673321,
109,0.303257,1.185072,
110,0.256146,1.208734,
111,0.423540,0.993558,
112,0.009297,1.275969,
113,0.297303,1.141625,
114,0.020130,0.763784,
115,0.479578,1.369956,
116,0.182395,0.759301,
117,0.234817,1.145459,
118,0.025973,0.746659,
119,0.151495,2.603943,
120,0.118969,1.924970,
121,0.265357,0.949471,
122,0.021597,0.560711,
123,0.292638,0.845901,
124,0.008223,1.370225,
125,0.053110,0.581507,
126,0.451022,1.600446,
127,0.050694,1.333980,
128,0.262768,0.628412,
129,0.433247,1.220882,
130,0.069907,4.033838,
131,0.049340,0.721478,
132,0.733922,2.193393,
133,0.223353,3.827878,
134,0.363205,1.409701,
135,0.287084,0.746192,
136,0.168536,1.016765,
137,0.301333,1.856914,
138,0.030713,0.678626,
139,0.168078,0.511063,
140,0.123643,0.590694,
141,0.189871,1.137852,
142,0.116069,1.072007,
143,0.391230,3.154761,
144,0.067810,0.772346,
145,0.134067,0.681028,
146,0.266961,1.070783,
147,0.272251,1.560052,
148,0.154320,0.792745,
149,0.268020,3.034519,
150,0.139003,0.929272,
151,0.060193,0.910325,
152,0.191024,0.913453,
153,0.310497,0.723266,
154,0.046524,0.652603,
155,0.048593,0.767638,
156,0.218030,0.796201,
157,0.627643,1.902946,
158,0.032326,1.306538,
159,0.191428,0.544994,
160,0.346741,1.333305,
161,0.403571,0.809930,
162,0.278096,0.603233,
163,0.210666,0.944135,
164,0.179959,0.583573,
165,0.197636,0.988710,
166,0.176119,1.228406,
167,0.024938,0.606774,
168,0.157873,0.692949,
169,0.108531,0.607003,
170,0.009609,0.866762,
171,0.160250,0.815119,
172,0.164007,0.611685,
173,0.021911,0.521877,
174,0.133385,0.677557,
175,0.102662,0.466455,
176,0.140864,0.806042,
177,0.029754,1.280868,
178,0.323989,0.589581,
179,0.030861,0.605654,
180,0.001953,1.572170,
181,0.646212,2.250473,
182,0.401846,0.697201,
183,0.018421,0.562098,
184,0.496641,1.370821,
185,0.178223,0.543392,
186,0.134911,0.411719,
187,0.126599,1.198648,
188,0.396498,0.774944,
189,0.051921,0.676018,
190,0.013471,0.548613,
191,0.069614,0.601434,
192,0.113341,0.802241,
193,0.163101,0.624538,
194,0.141396,0.557324,
195,0.149212,0.650360,
196,0.032040,0.679969,
197,0.146958,0.700848,
198,0.035061,0.749283,
199,0.049371,1.049403,
200,0.327671,0.668739,
201,0.009102,0.680138,
202,0.200012,0.533858,
203,0.018623,0.465284,
204,0.353748,0.749043,
205,0.068081,0.795242,
206,0.255342,0.562455,
207,0.007292,0.517350,
208,0.110443,0.730443,
209,0.224198,2.429740,
210,0.222134,2.831225,
211,0.214858,1.374533,
212,0.301695,0.755468,
213,0.279811,0.661761,
214,0.074970,0.583623,
215,0.012785,0.627898,
216,0.029732,0.611177,
217,0.112583,0.672858,
218,0.036238,1.979319,
219,0.365871,9.647408,
220,0.282174,1.736242,
221,0.173368,0.643129,
222,0.218770,0.581611,
223,0.235191,0.638850,
224,0.143345,0.506813,
225,0.022284,1.044596,
226,0.000067,0.979864,
227,0.016109,0.570145,
228,0.029743,0.860239,
229,0.340982,1.423974,
230,0.197850,0.695952,
231,0.464677,0.987337,
232,0.148658,0.678565,
233,0.355639,0.952978,
234,0.026287,0.348605,
235,0.439628,1.120390,
236,0.086784,0.505683,
237,0.271189,0.758332,
238,0.389917,0.621300,
239,0.024246,0.662438,
240,0.446134,1.062850,
241,0.180687,0.482275,
242,0.118350,0.407099,
243,0.356592,0.962945,
244,0.161657,1.099034,
245,0.337028,3.289535,
246,0.136733,0.804421,
247,0.069844,0.516346,
